model_name,majority_class,val_accuracy,val_f1,val_precision,val_recall,test_accuracy,test_f1,test_precision,test_recall,is_best,regParam,elasticNetParam,val_auc,test_auc,numTrees,maxDepth,maxIter
GBTClassifier,,0.4923459969495957,0.45860919348505275,0.5257143447198351,0.4923459969495957,0.5622802546056841,0.5348955811261523,0.5409510897473342,0.5622802546056841,True,,,0.5263331009906175,0.5534839898911413,,5.0,20.0
GBTClassifier,,0.4899371459352152,0.456492130512758,0.5220170594294773,0.4899371459352152,0.5618220779842023,0.5405328096863462,0.5434508589295722,0.5618220779842023,False,,,0.5190496328041616,0.5575764208425167,,5.0,50.0
GBTClassifier,,0.4872748511112187,0.4440524756493487,0.5240926572652986,0.48727485111121877,0.5658750351293658,0.5356057132936074,0.5440328965701059,0.5658750351293658,False,,,0.5221686117014045,0.5569460512732889,,3.0,50.0
GBTClassifier,,0.4846556795622912,0.42963591236812704,0.5273011891701579,0.4846556795622912,0.5725249493240213,0.5315166300551197,0.5488919669545652,0.5725249493240213,False,,,0.5235601576755813,0.5581478262022502,,3.0,20.0
RandomForestClassifier,,0.4865069541955164,0.4210938982217044,0.5388673513988096,0.48650695419551643,0.5782742063753072,0.5269031745053726,0.554925076888138,0.5782742063753071,True,,,0.5290448626315134,0.5624043720554832,50.0,10.0,
RandomForestClassifier,,0.4862050912700334,0.42065744292926666,0.5383416985194963,0.4862050912700334,0.578821701277812,0.5275975077142032,0.5558015563905041,0.578821701277812,False,,,0.5314803567046988,0.5633642111475998,20.0,10.0,
LogisticRegression,,0.4886790054713601,0.40611253767121636,0.5623121400185045,0.48867900547136006,0.5791871961683579,0.5141556431276355,0.5546222770858111,0.5791871961683578,True,0.01,0.0,0.5519515199270986,0.5431273969661339,,,
RandomForestClassifier,,0.4754832833002469,0.3735726366471411,0.5459241273485294,0.475483283300247,0.5847196975585838,0.4909681317660605,0.5689353402022164,0.5847196975585838,False,,,0.5471359397556113,0.5596652752993068,20.0,5.0,
RandomForestClassifier,,0.4750671815232654,0.37112705844765564,0.5470097303070637,0.4750671815232654,0.5840238371432501,0.49155939020402734,0.5665532224557908,0.5840238371432501,False,,,0.5443987713586945,0.5611736311904134,50.0,5.0,
LogisticRegression,,0.478236363966494,0.37010386159840963,0.5660092595205315,0.47823636396649394,0.5831568144990104,0.4925241694039115,0.5637296380931747,0.5831568144990104,False,0.1,0.0,0.5531707524919746,0.5441587650617782,,,
LogisticRegression,,0.4769933544763473,0.365874389002725,0.566126226733249,0.4769933544763473,0.5823649089028277,0.4867119037428833,0.5622405263489045,0.5823649089028277,False,0.01,0.5,0.5504872171734589,0.5411289202396746,,,
LogisticRegression,,0.46569505640826997,0.3250830002410692,0.5688771351162425,0.46569505640827,0.5819343873139639,0.4572191365741634,0.5721911045486535,0.5819343873139639,False,0.01,1.0,0.5493532935805101,0.5387419408979223,,,
MajorityBaseline,1.0,0.4551487677335012,0.2847274524267259,0.20716040076932463,0.4551487677335012,0.5779199229844714,0.42333128889160265,0.3339914373823773,0.5779199229844714,True,,,,,,,
LogisticRegression,,0.4551487677335012,0.2847274524267259,0.20716040076932463,0.4551487677335012,0.5779199229844714,0.42333128889160265,0.3339914373823773,0.5779199229844714,False,0.1,0.5,0.5,0.5,,,
LogisticRegression,,0.4551487677335012,0.2847274524267259,0.20716040076932463,0.4551487677335012,0.5779199229844714,0.42333128889160265,0.3339914373823773,0.5779199229844714,False,0.1,1.0,0.5,0.5,,,
